Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
Jazz Chisholm Jr.,28,665862,"Maj-AL,Maj-NL","Miami,New York",28,1677,1505,209,366,230,53,7,76,209,147,455,105,23,0.243,0.315,0.439,2B,
Jiman Choi,32,596847,Maj-NL,"Pittsburgh,San Diego",32,117,104,12,17,6,5,0,6,13,10,35,0,0,0.163,0.239,0.385,DH,
Jackson Chourio,21,694192,Maj-NL,Milwaukee,21,1209,1121,174,308,187,67,8,46,168,71,252,44,14,0.275,0.319,0.472,CF,MIL
Nathan Church,25,701675,Maj-NL,St. Louis,25,100,89,14,15,12,1,0,2,12,4,29,1,0,0.169,0.235,0.247,LF,STL
Denzel Clarke,26,672016,Maj-AL,Athletics,26,198,183,21,40,27,8,2,3,13,9,75,6,0,0.219,0.267,0.333,CF,
Jonatan Clase,23,682729,Maj-AL,"Seattle,Toronto",23,178,161,17,36,28,5,0,3,14,13,45,6,2,0.224,0.294,0.311,LF,
Kody Clemens,30,665019,"Maj-AL,Maj-NL","Minnesota,Philadelphia",30,687,629,80,136,73,29,5,29,86,47,174,8,3,0.216,0.277,0.417,2B,
Ernie Clement,30,676391,Maj-AL,Toronto,30,1226,1158,153,330,233,67,7,23,124,41,113,21,8,0.285,0.311,0.415,3B,TOR
Oscar Col\xc3\xa1s,25,693049,Maj-AL,Chicago,25,295,273,33,61,47,9,0,5,23,16,80,4,4,0.223,0.27,0.311,RF,CWS
Zach Cole,24,805904,Maj-AL,Houston,24,52,47,9,12,6,2,0,4,11,5,20,3,0,0.255,0.327,0.553,CF,HOU
Isaac Collins,28,686555,"Maj-AL,Maj-NL","Kansas City,Milwaukee",28,515,436,62,107,71,23,3,10,57,66,125,17,8,0.245,0.352,0.381,LF,
Zack Collins,28,641470,Maj-AL,Cleveland,28,6,4,0,2,2,0,0,0,0,2,2,0,0,0.5,0.667,0.5,C,CLE
Michael Conforto,33,624424,Maj-NL,"Chicago,Los Angeles,San Francisco",33,1465,1277,171,288,176,62,3,47,163,157,351,5,1,0.226,0.318,0.389,LF,
Griffin Conine,28,665052,Maj-NL,Miami,28,200,183,33,48,28,12,1,7,24,15,59,2,1,0.262,0.325,0.454,LF,MIA
William Contreras,28,661388,Maj-NL,Milwaukee,28,2058,1798,287,495,323,108,3,61,260,237,403,21,7,0.275,0.361,0.44,C,MIL
Willson Contreras,34,575929,"Maj-AL,Maj-NL","Boston,St. Louis",34,1474,1263,178,328,193,77,1,57,191,151,364,15,5,0.26,0.36,0.458,1B,
Billy Cook,27,695257,Maj-NL,Pittsburgh,27,58,58,7,13,8,2,0,3,8,0,22,1,1,0.224,0.224,0.414,OF,PIT
Garrett Cooper,33,643265,"Maj-AL,Maj-NL","Boston,Chicago,Miami,San Diego",33,565,521,47,124,83,23,1,17,70,38,165,0,0,0.238,0.294,0.384,1B,
Franchy Cordero,28,614173,Maj-AL,New York,28,71,69,9,13,5,2,0,6,13,2,25,0,0,0.188,0.211,0.478,OF,NYY
Kenedy Corona,25,685744,Maj-AL,Houston,25,4,2,0,0,0,0,0,0,0,2,1,0,0,0.0,0.5,0.0,CF,HOU
Carlos Correa,31,621043,Maj-AL,"Houston,Minnesota",31,1607,1438,191,388,254,84,4,46,184,151,317,1,0,0.27,0.341,0.43,SS,
Carlos Cortes,29,666126,Maj-AL,Athletics,29,121,112,14,35,19,10,1,5,19,7,21,0,0,0.313,0.347,0.554,LF,
Colton Cowser,26,681297,Maj-AL,Baltimore,26,1036,920,132,199,115,41,3,40,115,95,333,24,4,0.216,0.299,0.398,LF,BAL
Brandon Crawford,37,543063,Maj-NL,"San Francisco,St. Louis",37,397,351,36,67,42,16,1,8,42,36,105,3,0,0.191,0.273,0.311,SS,
J.P. Crawford,31,641487,Maj-AL,Seattle,31,1814,1554,224,384,264,77,2,41,168,230,362,15,2,0.247,0.348,0.378,SS,SEA
Justin Crawford,22,702222,Maj-NL,Philadelphia,22,45,40,6,14,10,3,1,0,1,4,9,1,1,0.35,0.422,0.475,CF,PHI
Kutter Crawford,27,676710,Maj-AL,Boston,27,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,P,BOS
Dylan Crews,23,686611,Maj-NL,Washington,23,454,412,55,87,58,13,3,13,35,35,102,29,8,0.211,0.282,0.352,RF,WSN
Blaine Crim,28,688760,"Maj-AL,Maj-NL","Colorado,Texas",28,74,65,10,13,6,2,0,5,12,6,28,0,0,0.2,0.27,0.462,1B,
C.J. Cron,33,543068,"Maj-AL,Maj-NL","Colorado,Los Angeles",33,269,251,36,59,38,11,0,10,32,15,63,0,0,0.235,0.279,0.398,1B,
Jake Cronenworth,32,630105,Maj-NL,San Diego,32,1780,1532,197,358,233,74,12,39,193,185,343,14,6,0.234,0.328,0.374,2B,
Jimmy Crooks,23,699625,Maj-NL,St. Louis,23,46,45,3,6,4,0,1,1,1,0,17,0,0,0.133,0.152,0.244,C,STL
Tyler Cropley,27,680418,Maj-AL,Kansas City,27,7,6,0,1,1,0,0,0,1,0,2,0,0,0.167,0.143,0.167,C,KC
Pete Crow-Armstrong,24,691718,Maj-NL,Chicago,24,1164,1059,148,251,148,51,10,42,150,57,289,69,15,0.237,0.282,0.423,CF,CHC
Nelson Cruz,42,443558,Maj-NL,San Diego,42,148,139,9,35,24,5,1,5,23,6,45,1,0,0.252,0.291,0.41,DH,
Oneil Cruz,27,665833,Maj-NL,Pittsburgh,27,1238,1097,149,260,153,56,6,45,151,124,380,68,7,0.237,0.317,0.422,CF,PIT
Charlie Culberson,34,518586,Maj-NL,Atlanta,34,1,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,3B,ATL
Travis d\'Arnaud,37,518595,"Maj-AL,Maj-NL","Atlanta,Los Angeles",37,882,804,87,174,98,43,0,33,108,59,236,1,0,0.216,0.279,0.393,C,
David Dahl,30,621311,Maj-NL,"Philadelphia,San Diego",30,67,63,7,13,7,2,0,4,9,3,21,0,0,0.206,0.239,0.429,LF,
Bobby Dalbec,30,666915,Maj-AL,"Boston,Chicago",30,167,150,14,25,18,5,0,2,10,15,77,4,0,0.167,0.247,0.24,1B,
Logan Davidson,27,669722,Maj-AL,"Athletics,Los Angeles",27,47,42,3,7,4,2,0,1,4,3,22,0,0,0.167,0.222,0.286,1B,
Henry Davis,26,680779,Maj-NL,Pittsburgh,26,695,612,63,111,72,24,0,15,54,59,198,5,6,0.181,0.263,0.294,C,PIT
J.D. Davis,32,605204,"Maj-AL,Maj-NL","Los Angeles,New York,Oakland,San Francisco",32,710,629,74,151,100,28,1,22,75,64,192,1,0,0.24,0.316,0.393,3B,
Jonathan Davis,31,641505,Maj-NL,Miami,31,104,90,22,22,15,4,1,2,10,7,29,1,2,0.244,0.307,0.378,CF,MIA
Yonathan Daza,29,602074,Maj-NL,Colorado,29,70,64,7,17,11,6,0,0,7,3,9,0,0,0.266,0.304,0.359,CF,COL
Bryan De La Cruz,28,650559,Maj-NL,"Atlanta,Miami,Pittsburgh",28,1302,1213,122,295,197,58,0,40,147,73,328,10,3,0.243,0.286,0.39,OF,
Elly De La Cruz,24,682829,Maj-NL,Cincinnati,24,1897,1700,286,433,260,85,24,64,215,181,566,144,33,0.255,0.329,0.446,SS,CIN
Deyvison De Los Santos,23,691277,Maj-NL,Miami,23,2,2,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,1.0,3B,MIA
Luis De Los Santos,26,665782,Maj-AL,Toronto,26,31,29,2,5,3,2,0,0,1,2,10,0,0,0.172,0.226,0.241,3B,TOR
Justin Dean,28,681909,Maj-NL,Los Angeles,28,2,2,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,CF,LAD
Paul DeJong,31,657557,"Maj-AL,Maj-NL","Chicago,Kansas City,San Francisco,St. Louis,Toronto,Washington",31,1090,1010,113,222,138,40,0,44,117,55,347,10,6,0.22,0.268,0.39,3B,
Adrian Del Castillo,26,680728,Maj-NL,Arizona,26,234,216,22,59,39,12,0,8,40,15,81,1,1,0.273,0.321,0.44,C,ARI
Chase DeLauter,24,800050,Maj-AL,Cleveland,24,62,54,9,14,6,3,0,5,12,7,11,0,0,0.259,0.339,0.593,RF,CLE
Jason Delay,29,641511,Maj-NL,Pittsburgh,29,206,182,21,45,29,14,1,1,24,17,44,0,0,0.247,0.32,0.352,C,PIT
Zach DeLoach,25,676113,Maj-AL,Chicago,25,75,67,10,14,8,5,0,1,5,8,21,0,1,0.209,0.293,0.328,RF,CWS
Jonny DeLuca,27,676356,"Maj-AL,Maj-NL","Los Angeles,Tampa Bay",27,496,460,44,110,79,15,7,9,46,30,102,24,7,0.239,0.291,0.361,CF,
Cam Devanney,28,687478,Maj-NL,Pittsburgh,28,38,36,1,5,4,1,0,0,1,2,21,0,1,0.139,0.184,0.167,SS,PIT
Jos\xc3\xa9 Devers,24,672701,Maj-NL,Miami,24,4,4,1,1,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,SS,MIA
Rafael Devers,29,646240,"Maj-AL,Maj-NL","Boston,San Francisco",29,2041,1763,280,464,260,101,5,98,297,245,478,9,2,0.263,0.357,0.493,DH,
Zach Dezenzo,25,701305,Maj-AL,Houston,25,174,160,22,39,27,8,0,4,18,14,59,1,0,0.244,0.305,0.369,LF,HOU
Aledmys D\xc3\xadaz,33,649557,Maj-AL,"Houston,Oakland",33,374,345,27,73,48,20,1,4,24,17,74,1,0,0.212,0.26,0.31,SS,
Elias D\xc3\xadaz,34,553869,Maj-NL,"Colorado,San Diego",34,1152,1059,109,267,185,52,1,29,140,74,258,1,0,0.252,0.304,0.385,C,
Isan D\xc3\xadaz,27,656371,"Maj-AL,Maj-NL","Detroit,San Francisco",27,26,24,0,1,1,0,0,0,1,2,9,0,0,0.042,0.115,0.042,2B,
Jordan Diaz,22,672478,Maj-AL,Oakland,22,293,272,20,60,41,9,0,10,27,17,69,0,1,0.221,0.273,0.364,2B,OAK
Yainer Diaz,27,673237,Maj-AL,Houston,27,1630,1544,181,426,286,77,4,59,222,59,288,3,1,0.276,0.303,0.446,C,HOU
Yandy D\xc3\xadaz,34,650490,Maj-AL,Tampa Bay,34,1941,1732,238,527,364,96,3,64,239,176,289,4,2,0.304,0.374,0.474,1B,TB
Corey Dickerson,34,572816,Maj-NL,Washington,34,151,143,12,36,26,7,1,2,17,7,28,0,1,0.252,0.285,0.357,LF,WSN
Dillon Dingler,27,693307,Maj-AL,Detroit,27,641,589,66,150,100,29,4,17,78,34,160,0,0,0.255,0.31,0.404,C,DET
Brandon Dixon,31,641525,Maj-NL,San Diego,31,86,79,10,16,10,4,0,2,9,1,31,1,0,0.203,0.244,0.329,3B,
Jasson Dom\xc3\xadnguez,22,691176,Maj-AL,New York,22,530,469,73,117,79,21,1,16,58,54,142,29,5,0.249,0.328,0.401,LF,NYY
Josh Donaldson,37,518626,"Maj-AL,Maj-NL","Milwaukee,New York",37,193,168,18,26,8,5,0,13,26,22,48,0,0,0.155,0.254,0.417,3B,
Brendan Donovan,29,680977,"Maj-AL,Maj-NL","Seattle,St. Louis",29,1578,1406,179,397,278,78,4,37,160,128,210,14,10,0.282,0.353,0.422,2B,
Jeter Downs,24,669023,Maj-NL,Washington,24,9,5,4,2,2,0,0,0,1,4,1,2,0,0.4,0.667,0.4,SS,WSN
Brenton Doyle,28,686668,Maj-NL,Colorado,28,1620,1487,194,347,223,64,11,49,178,102,459,72,13,0.233,0.283,0.39,CF,COL
Hunter Dozier,31,641531,Maj-AL,Kansas City,31,88,79,8,15,10,2,1,2,9,8,27,2,0,0.19,0.261,0.316,1B,KC
Logan Driscoll,26,686482,Maj-AL,Tampa Bay,26,37,35,2,6,5,0,0,1,5,1,6,0,0,0.171,0.189,0.257,C,TB
Brandon Drury,31,592273,Maj-AL,Los Angeles,31,879,806,89,182,112,37,3,30,98,52,216,1,2,0.226,0.281,0.391,3B,LAA
Mauricio Dub\xc3\xb3n,31,643289,"Maj-AL,Maj-NL","Atlanta,Houston",31,1401,1318,175,354,251,77,3,23,137,61,180,13,5,0.269,0.302,0.384,2B,
Matt Duffy,33,622110,Maj-AL,"Kansas City,Texas",33,219,198,19,50,40,8,0,2,16,14,40,1,0,0.253,0.315,0.323,3B,
Blake Dunn,26,694362,Maj-NL,Cincinnati,26,104,86,18,13,8,3,0,2,8,10,36,3,1,0.151,0.298,0.256,LF,CIN
Oliver Dunn,27,686554,Maj-NL,Milwaukee,27,145,131,15,27,20,4,2,1,13,8,51,4,0,0.206,0.261,0.29,3B,MIL
Ezequiel Duran,27,677649,Maj-AL,Texas,27,968,904,100,230,162,48,2,18,84,45,246,20,8,0.254,0.298,0.372,SS,TEX
Jarren Duran,29,680776,Maj-AL,Boston,29,1850,1673,250,456,258,125,29,44,203,143,434,84,15,0.273,0.337,0.461,LF,BOS
Caleb Durbin,26,702332,"Maj-AL,Maj-NL","Boston,Milwaukee",26,587,518,65,127,87,28,1,11,60,36,66,21,8,0.245,0.324,0.367,3B,
Adam Duvall,35,594807,"Maj-AL,Maj-NL","Atlanta,Boston",35,678,619,73,133,65,34,2,32,87,43,207,4,0,0.215,0.274,0.431,LF,
Nate Eaton,28,681987,Maj-AL,"Boston,Kansas City",28,152,139,18,30,24,5,0,1,5,9,41,12,2,0.216,0.272,0.273,3B,
Cam Eden,25,686490,Maj-AL,Toronto,25,6,6,1,1,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,CF,TOR
Tommy Edman,30,669242,Maj-NL,"Los Angeles,St. Louis",30,1187,1083,153,262,169,51,6,36,137,71,202,41,5,0.242,0.294,0.4,2B,
Xavier Edwards,26,669364,Maj-NL,Miami,26,1069,961,138,290,235,38,12,5,78,90,162,65,11,0.302,0.362,0.382,SS,MIA
Bryce Eldridge,20,805811,Maj-NL,San Francisco,20,37,28,1,3,1,2,0,0,4,7,13,0,0,0.107,0.297,0.179,1B,SF
Tim Elko,26,671284,Maj-AL,Chicago,26,72,67,6,9,4,1,0,4,8,5,30,1,0,0.134,0.194,0.328,1B,CWS
Drew Ellis,27,656403,Maj-NL,Philadelphia,27,29,23,4,5,3,0,0,2,4,6,7,0,1,0.217,0.379,0.478,3B,PHI
Duke Ellis,26,668752,Maj-AL,"Chicago,New York",26,5,5,1,1,1,0,0,0,0,0,2,5,0,0.2,0.2,0.2,CF,
Jerar Encarnacion,28,666464,Maj-NL,San Francisco,28,194,187,19,44,28,9,0,7,26,6,52,2,0,0.235,0.258,0.396,RF,SF
Christian Encarnacion-Strand,25,687952,Maj-NL,Cincinnati,25,501,468,55,109,71,17,0,21,72,21,136,2,2,0.233,0.275,0.404,1B,CIN
Adam Engel,31,641553,Maj-NL,San Diego,31,6,6,0,0,0,0,0,0,0,0,2,0,1,0.0,0.0,0.0,CF,
Tristin English,28,663536,Maj-NL,Arizona,28,23,22,0,2,1,1,0,0,1,1,8,0,0,0.091,0.13,0.136,OF,ARI
J.C. Escarra,31,641555,Maj-AL,New York,31,108,93,5,17,10,5,0,2,12,12,17,1,0,0.183,0.278,0.301,C,NYY
Eduardo Escobar,34,500871,"Maj-AL,Maj-NL","Los Angeles,New York",34,302,281,31,64,47,6,5,6,31,18,75,2,1,0.228,0.272,0.349,3B,
Santiago Espinal,31,669289,"Maj-AL,Maj-NL","Cincinnati,Los Angeles,Toronto",31,984,899,88,222,172,39,0,11,88,63,129,15,3,0.247,0.298,0.327,3B,
Thairo Estrada,29,642731,Maj-NL,"Colorado,San Francisco",29,1072,1009,120,250,170,50,4,26,117,38,221,25,12,0.248,0.285,0.383,2B,
Sandro Fabian,26,660758,Maj-AL,Texas,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,RF,TEX
Stuart Fairchild,29,656413,Maj-NL,"Atlanta,Cincinnati",29,543,479,74,106,62,28,3,13,60,46,144,25,4,0.221,0.301,0.374,RF,
Kyle Farmer,35,571657,"Maj-AL,Maj-NL","Atlanta,Colorado,Minnesota",35,916,833,100,196,127,41,3,25,105,58,203,5,10,0.235,0.297,0.382,2B,
Hunter Feduccia,29,676439,"Maj-AL,Maj-NL","Los Angeles,Tampa Bay",29,135,113,8,20,15,5,0,0,10,20,38,1,0,0.177,0.296,0.221,C,
Freddy Fermin,31,666023,"Maj-AL,Maj-NL","Kansas City,San Diego",31,994,915,105,242,180,41,1,20,95,58,190,3,2,0.264,0.311,0.377,C,
Jos\xc3\xa9 Ferm\xc3\xadn,27,665877,Maj-NL,St. Louis,27,220,190,14,42,33,7,1,1,18,21,32,4,4,0.221,0.31,0.284,2B,STL
Jose Fernandez,22,699912,Maj-NL,Arizona,22,32,32,6,10,7,1,0,2,6,0,8,1,0,0.313,0.313,0.531,SS,ARI
Yanquiel Fern\xc3\xa1ndez,22,692585,Maj-NL,Colorado,22,147,138,13,31,22,5,0,4,11,8,44,0,0,0.225,0.265,0.348,RF,COL
Ryan Fitzgerald,31,680837,Maj-AL,Minnesota,31,53,46,10,9,5,0,0,4,9,7,8,1,0,0.196,0.302,0.457,3B,MIN
Tyler Fitzgerald,27,666149,Maj-NL,San Francisco,27,618,563,75,142,87,31,3,21,53,41,188,28,8,0.252,0.309,0.43,2B,SF
David Fletcher,30,664058,"Maj-AL,Maj-NL","Atlanta,Los Angeles",30,106,97,7,24,21,1,0,2,14,7,10,0,0,0.247,0.295,0.32,2B,
Dominic Fletcher,27,666150,"Maj-AL,Maj-NL","Arizona,Chicago",27,377,348,29,81,58,18,1,4,33,20,82,1,2,0.233,0.28,0.325,RF,
Rafael Flores,24,804668,Maj-NL,Pittsburgh,24,17,15,0,3,1,2,0,0,0,2,7,0,0,0.2,0.294,0.333,C,PIT
Wilmer Flores,33,527038,Maj-NL,San Francisco,33,1155,1035,114,260,173,44,0,43,157,94,183,1,0,0.251,0.319,0.418,1B,SF
Estevan Florial,26,664314,Maj-AL,"Cleveland,New York",26,182,159,16,31,16,9,3,3,19,18,61,5,1,0.195,0.287,0.346,LF,
Harry Ford,22,695670,Maj-AL,Seattle,22,9,7,1,2,2,0,0,0,1,0,3,0,0,0.286,0.333,0.286,C,SEA
Mike Ford,31,645801,"Maj-AL,Maj-NL","Cincinnati,Seattle",31,313,279,34,59,35,6,1,17,38,26,96,0,0,0.211,0.294,0.423,1B,
Nick Fortes,29,663743,"Maj-AL,Maj-NL","Miami,Tampa Bay",29,941,859,83,192,136,39,1,16,82,43,153,5,3,0.224,0.273,0.327,C,
Justin Foscue,26,679822,Maj-AL,Texas,26,53,51,3,3,1,2,0,0,3,2,21,0,0,0.059,0.094,0.098,1B,TEX
Jake Fraley,31,641584,"Maj-AL,Maj-NL","Atlanta,Cincinnati,Tampa Bay",31,1006,901,116,233,156,49,2,26,115,91,194,45,13,0.259,0.332,0.404,RF,
Ty France,31,664034,"Maj-AL,Maj-NL","Cincinnati,Minnesota,San Diego,Seattle,Toronto",31,1698,1518,173,371,260,80,0,31,159,103,317,3,1,0.244,0.319,0.358,1B,
Wander Franco,22,677551,Maj-AL,Tampa Bay,22,487,438,64,122,77,23,6,16,57,42,69,30,10,0.279,0.343,0.468,SS,TB
Adam Frazier,34,624428,"Maj-AL,Maj-NL","Baltimore,Kansas City,Los Angeles,Pittsburgh",34,1232,1112,139,267,190,50,3,24,128,84,213,21,10,0.24,0.303,0.355,2B,
Clint Frazier,28,640449,Maj-AL,Chicago,28,76,66,10,13,11,1,1,0,3,10,23,4,2,0.197,0.303,0.242,LF,CWS
Alex Freeland,24,690976,Maj-NL,Los Angeles,24,138,122,15,25,17,4,1,3,8,14,48,1,0,0.205,0.292,0.328,2B,LAD
Kyle Freeland,31,607536,Maj-NL,Colorado,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,P,COL
Cody Freeman,24,683227,Maj-AL,Texas,24,121,114,13,26,19,4,0,3,15,5,19,1,1,0.228,0.258,0.342,3B,TEX
Freddie Freeman,36,518692,Maj-NL,Los Angeles,36,2195,1914,313,570,337,142,7,84,310,228,378,40,5,0.298,0.379,0.511,1B,LAD
Tyler Freeman,27,671289,"Maj-AL,Maj-NL","Cleveland,Colorado",27,998,876,119,218,161,41,3,13,84,72,136,36,15,0.249,0.327,0.347,RF,
Sal Frelick,26,686217,Maj-NL,Milwaukee,26,1448,1288,180,342,260,55,8,19,125,123,214,45,9,0.266,0.333,0.365,RF,MIL
TJ Friedl,30,670770,Maj-NL,Cincinnati,30,1652,1424,194,364,259,49,11,45,175,164,273,51,10,0.256,0.346,0.4,CF,CIN
David Fry,30,681807,Maj-AL,Cleveland,30,713,626,77,148,89,30,1,28,97,65,190,8,1,0.236,0.321,0.422,1B,CLE
Braxton Fulford,27,690924,Maj-NL,Colorado,27,125,113,13,25,16,5,2,2,18,7,38,1,0,0.221,0.272,0.354,C,COL
Michael Fulmer,30,605242,Maj-NL,Chicago,30,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,P,CHC
Cam Gallagher,30,595956,Maj-AL,Cleveland,30,149,143,6,18,12,6,0,0,7,4,46,0,0,0.126,0.154,0.168,C,CLE
Joey Gallo,30,608336,"Maj-AL,Maj-NL","Minnesota,Washington",30,590,503,63,85,35,18,1,31,67,80,243,4,2,0.169,0.29,0.394,LF,
Ben Gamel,32,592325,"Maj-AL,Maj-NL","Houston,New York,San Diego",32,114,96,24,23,17,5,0,1,6,18,26,1,0,0.24,0.36,0.323,RF,
Adolis Garc\xc3\xada,33,666969,"Maj-AL,Maj-NL","Philadelphia,Texas",33,1937,1750,247,410,230,87,0,93,291,145,520,36,10,0.234,0.298,0.443,RF,
Aramis Garcia,32,605244,Maj-NL,"Arizona,Philadelphia",32,11,11,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,C,
Avisa\xc3\xadl Garc\xc3\xada,33,541645,Maj-NL,Miami,33,162,152,12,32,22,4,1,5,14,6,51,2,0,0.211,0.25,0.349,RF,MIA
Jhostynxon Garcia,22,691373,Maj-AL,Boston,22,9,7,0,1,0,1,0,0,0,2,5,0,0,0.143,0.333,0.286,CF,BOS
Luis Garc\xc3\xada Jr.,26,671277,Maj-NL,Washington,26,1578,1476,192,396,271,74,7,44,194,82,234,45,14,0.268,0.304,0.417,2B,WSN
Maikel Garcia,26,672580,Maj-AL,Kansas City,26,1896,1714,234,455,321,91,14,29,191,150,317,86,19,0.265,0.322,0.386,3B,KC
Kyle Garlick,31,664247,Maj-AL,Minnesota,31,30,28,2,5,2,1,0,2,4,2,11,0,0,0.179,0.233,0.429,LF,MIN
Stone Garrett,28,656448,Maj-NL,Washington,28,277,239,42,66,38,18,0,10,43,27,82,3,1,0.276,0.35,0.477,CF,WSN
Mitch Garver,35,641598,Maj-AL,"Seattle,Texas",35,1144,985,119,211,128,35,2,46,146,137,313,3,0,0.214,0.317,0.394,C,
Mickey Gasper,29,681508,Maj-AL,"Boston,Minnesota",29,133,113,16,15,12,1,0,2,11,14,28,2,0,0.133,0.25,0.195,2B,
Zack Gelof,26,680869,Maj-AL,"Athletics,Oakland",26,948,859,113,193,114,43,3,33,88,71,316,40,7,0.225,0.287,0.397,2B,
Tyler Gentry,25,694355,Maj-AL,Kansas City,25,5,5,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,OF,KC
Drew Gilbert,24,687551,Maj-NL,San Francisco,24,109,100,12,19,10,5,1,3,13,7,20,1,1,0.19,0.248,0.35,CF,SF
Andr\xc3\xa9s Gim\xc3\xa9nez,27,665926,Maj-AL,"Cleveland,Toronto",27,1780,1614,194,389,282,64,8,35,182,92,310,77,13,0.241,0.3,0.356,2B,
Paul Goldschmidt,38,502671,"Maj-AL,Maj-NL","New York,St. Louis",38,1894,1696,238,444,289,95,2,58,192,172,437,26,3,0.262,0.332,0.423,1B,
Yan Gomes,36,543228,Maj-NL,Chicago,36,511,469,51,116,80,22,2,12,69,23,117,1,0,0.247,0.292,0.38,C,CHC
Nick Gonzales,27,693304,Maj-NL,Pittsburgh,27,971,900,100,232,163,48,7,14,99,48,192,6,6,0.258,0.3,0.373,2B,PIT
Oscar Gonz\xc3\xa1lez,27,660757,"Maj-AL,Maj-NL","Cleveland,San Diego",27,236,227,16,48,36,8,2,2,16,7,59,0,1,0.211,0.237,0.291,LF,
Romy Gonzalez,28,663853,Maj-AL,"Boston,Chicago",28,659,612,83,166,106,36,6,18,96,32,178,24,8,0.271,0.307,0.438,1B,
Hunter Goodman,26,696100,Maj-NL,Colorado,26,937,872,113,216,119,42,8,47,149,50,261,4,4,0.248,0.293,0.476,C,COL
Niko Goodrum,32,592348,Maj-AL,"Los Angeles,Tampa Bay",32,33,29,2,3,3,0,0,0,0,3,10,1,1,0.103,0.188,0.103,3B,
Nick Gordon,28,624503,"Maj-AL,Maj-NL","Miami,Minnesota",28,366,349,42,75,47,16,2,10,39,12,78,5,5,0.215,0.241,0.358,SS,
Nolan Gorman,26,669357,Maj-NL,St. Louis,26,1312,1160,155,250,141,46,1,62,180,139,447,14,4,0.216,0.3,0.417,2B,STL
Matt Gorski,27,685301,Maj-NL,Pittsburgh,27,42,41,2,8,5,0,1,2,4,1,16,0,1,0.195,0.214,0.39,1B,PIT
Yasmani Grandal,35,518735,"Maj-AL,Maj-NL","Chicago,Pittsburgh",35,640,570,58,132,92,24,0,16,59,60,130,1,0,0.232,0.308,0.358,C,
Tristan Gray,30,656484,"Maj-AL,Maj-NL","Miami,Minnesota,Oakland,Tampa Bay",30,145,130,11,28,16,7,0,5,18,11,42,0,0,0.215,0.273,0.385,3B,
Riley Greene,25,682985,Maj-AL,Detroit,25,1782,1603,231,423,255,84,11,73,235,158,499,14,4,0.264,0.332,0.467,LF,DET
Randal Grichuk,34,545341,"Maj-AL,Maj-NL","Arizona,Colorado,Kansas City,Los Angeles,New York",34,1053,970,143,252,141,69,5,37,117,66,208,2,3,0.26,0.311,0.456,RF,
Konnor Griffin,20,804606,Maj-NL,Pittsburgh,20,30,26,2,4,3,1,0,0,4,2,8,1,0,0.154,0.233,0.192,SS,PIT
Trent Grisham,29,663757,"Maj-AL,Maj-NL","New York,San Diego",29,1424,1206,185,252,143,50,3,56,159,194,366,21,6,0.209,0.324,0.395,CF,
Vaughn Grissom,25,687093,"Maj-AL,Maj-NL","Atlanta,Boston,Los Angeles",25,199,184,15,41,34,6,1,0,15,10,40,2,1,0.223,0.271,0.266,2B,
Robbie Grossman,34,543257,Maj-AL,"Chicago,Kansas City,Texas",34,681,577,77,129,84,32,1,12,62,91,165,4,0,0.224,0.327,0.345,LF,
Vladimir Guerrero Jr.,27,665489,Maj-AL,Toronto,27,2207,1930,295,573,368,116,1,88,296,244,302,14,8,0.297,0.38,0.495,1B,TOR
Luis Guillorme,30,641645,"Maj-AL,Maj-NL","Arizona,Atlanta,Houston,Los Angeles,New York",30,327,287,28,60,42,15,2,1,19,34,72,4,2,0.209,0.29,0.286,3B,
Lourdes Gurriel Jr.,31,666971,Maj-NL,Arizona,31,1753,1622,194,427,273,84,6,64,248,95,291,24,5,0.263,0.308,0.441,LF,ARI
Yuli Gurriel,41,493329,"Maj-AL,Maj-NL","Kansas City,Miami,San Diego",41,456,407,45,93,65,21,3,4,36,42,69,5,0,0.229,0.298,0.324,1B,
Dalton Guthrie,27,656495,Maj-NL,Philadelphia,27,28,24,4,4,3,1,0,0,0,3,7,0,0,0.167,0.286,0.208,LF,PHI
Denzer Guzman,21,694203,Maj-AL,Los Angeles,21,43,42,4,8,5,1,0,2,3,1,22,0,0,0.19,0.209,0.357,SS,LAA
Eric Haase,32,606992,"Maj-AL,Maj-NL","Cleveland,Detroit,Milwaukee",32,435,406,43,89,65,12,1,11,49,24,140,4,1,0.219,0.266,0.335,C,
