Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
Roman Anthony,22,701350,Maj-AL,Boston,22,360,307,55,86,56,19,2,9,34,47,102,5,1,0.28,0.383,0.443,RF,BOS
Jonathan Aranda,28,666018,Maj-AL,Tampa Bay,28,735,642,98,180,118,36,1,25,100,73,183,0,2,0.28,0.361,0.456,1B,TB
Jonathan Ara\xc3\xbaz,24,660620,Maj-NL,New York,24,66,59,3,8,5,0,0,3,9,5,18,0,0,0.136,0.203,0.288,2B,NYM
Orlando Arcia,30,606115,Maj-NL,"Atlanta,Colorado",30,1364,1257,129,292,198,56,1,37,124,90,282,3,1,0.232,0.284,0.367,SS,
Nolan Arenado,35,571448,Maj-NL,"Arizona,St. Louis",35,1727,1582,192,407,283,67,3,54,215,114,255,8,5,0.257,0.308,0.406,3B,
Gabriel Arias,26,672356,Maj-AL,Cleveland,26,1019,940,97,203,124,50,3,26,100,63,343,16,10,0.216,0.27,0.359,SS,CLE
Randy Arozarena,31,668227,Maj-AL,"Seattle,Tampa Bay",31,2134,1816,287,430,265,89,4,72,226,230,549,81,26,0.237,0.344,0.409,LF,
Luis Arraez,29,650333,Maj-NL,"Miami,San Diego,San Francisco",29,2070,1930,229,608,482,92,12,22,181,96,89,26,9,0.315,0.35,0.409,IF,
Christian Arroyo,28,624414,Maj-AL,Boston,28,202,191,23,46,28,15,0,3,22,7,44,1,3,0.241,0.269,0.366,2B,BOS
Drew Avans,29,682183,"Maj-AL,Maj-NL","Athletics,Milwaukee",29,18,17,1,2,2,0,0,0,1,0,6,1,0,0.118,0.111,0.118,LF,
Jos\xc3\xa9 Azocar,29,640492,Maj-NL,"Atlanta,New York,San Diego",29,199,181,34,42,32,8,0,2,12,11,44,14,3,0.232,0.284,0.309,LF,
Akil Baddoo,26,668731,Maj-AL,Detroit,26,457,402,47,80,48,16,3,13,40,51,121,16,3,0.199,0.288,0.351,LF,DET
Harrison Bader,32,664056,"Maj-AL,Maj-NL","Cincinnati,Minnesota,New York,Philadelphia,San Francisco",32,1350,1232,169,301,205,56,3,37,149,79,311,50,18,0.244,0.299,0.385,LF,
Jihwan Bae,25,678225,Maj-NL,Pittsburgh,25,473,425,67,90,68,18,2,2,38,40,125,32,12,0.212,0.281,0.278,CF,PIT
Javier B\xc3\xa1ez,33,595879,Maj-AL,Detroit,33,1339,1262,145,290,202,52,7,29,162,47,313,27,2,0.23,0.266,0.351,CF,DET
Patrick Bailey,27,672275,Maj-NL,San Francisco,27,1297,1177,125,267,189,52,5,21,150,93,339,7,0,0.227,0.284,0.333,C,SF
Darren Baker,25,671117,Maj-NL,Washington,25,14,14,1,7,5,2,0,0,0,0,3,0,0,0.5,0.5,0.643,2B,WSN
Luken Baker,29,663609,Maj-NL,"Arizona,St. Louis",29,190,161,15,33,21,7,1,4,22,27,53,1,0,0.205,0.316,0.335,1B,
Brooks Baldwin,24,681460,Maj-AL,Chicago,24,449,414,41,96,61,21,1,13,46,27,117,9,0,0.232,0.279,0.382,LF,CWS
Drake Baldwin,25,686948,Maj-NL,Atlanta,25,514,466,70,131,85,20,2,24,96,43,79,0,0,0.281,0.348,0.487,C,ATL
Mois\xc3\xa9s Ballesteros,22,694208,Maj-NL,Chicago,22,104,91,16,25,19,2,1,3,16,12,21,0,0,0.275,0.356,0.418,C,CHC
Will Banfield,25,677943,Maj-NL,Cincinnati,25,10,10,0,1,1,0,0,0,0,0,6,0,0,0.1,0.1,0.1,C,CIN
Rylan Bannon,27,676625,Maj-AL,Houston,27,6,6,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,3B,HOU
