Name,Age,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Jos\xc3\xa9 Butt\xc3\xb3,28,676130,Maj-NL,"New York,San Francisco",28,103,14,13.0,4.0,192.0,148,77,100,188,17,3.61,1.292,805,1.88,18,1,
Jos\xc3\xa9 Caballero,28,676609,Maj-AL,Tampa Bay,28,1,0,,,1.0,5,6,1,0,2,54.0,6.0,9,0.0,0,0,TB
Edward Cabrera,28,665795,Maj-NL,"Chicago,Miami",28,71,69,20.0,,350.1,291,157,173,388,43,4.03,1.324,1499,2.24,75,2,
G\xc3\xa9nesis Cabrera,28,650893,"Maj-AL,Maj-NL","Chicago,Minnesota,New York,Pittsburgh,St. Louis,Toronto",28,170,0,5.0,3.0,160.2,158,81,71,144,30,4.54,1.425,696,2.03,25,1,
Oswaldo Cabrera,25,665828,Maj-AL,New York,25,1,0,,,0.1,0,0,2,0,0,0.0,6.0,3,0.0,0,0,NYY
Kelvin C\xc3\xa1ceres,23,680983,Maj-AL,Los Angeles,23,2,0,,,1.1,2,1,2,1,0,6.75,3.0,8,0.5,0,0,LAA
Blair Calvo,27,663971,Maj-NL,Colorado,27,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,COL
Noah Cameron,26,702070,Maj-AL,Kansas City,26,26,26,10.0,,149.0,119,48,45,124,18,2.9,1.101,600,2.76,2,2,KC
Isaiah Campbell,27,663462,Maj-AL,"Boston,Seattle",27,41,0,4.0,1.0,43.0,49,27,16,42,6,5.65,1.512,192,2.63,6,0,
Griffin Canning,29,656288,"Maj-AL,Maj-NL","Los Angeles,New York",29,72,69,20.0,,375.0,365,192,137,339,61,4.61,1.339,1603,2.47,11,8,
Jonathan Cannon,24,686563,Maj-AL,Chicago,24,45,38,9.0,1.0,228.0,241,129,78,177,37,5.09,1.399,988,2.27,22,3,CWS
Yennier Cano,32,666974,Maj-AL,Baltimore,32,217,0,9.0,15.0,197.2,183,73,63,189,17,3.32,1.245,812,3.0,26,4,BAL
Joey Cantillo,26,676282,Maj-AL,Cleveland,26,50,24,8.0,1.0,153.2,126,61,70,178,17,3.57,1.275,645,2.54,7,0,CLE
Vinny Capra,28,681962,Maj-AL,Chicago,28,3,0,,,3.0,5,2,0,1,1,6.0,1.667,15,,0,0,CWS
Matt Carasiti,32,571539,Maj-NL,Colorado,32,23,0,1.0,1.0,33.0,44,27,14,23,5,7.36,1.758,153,1.64,1,0,COL
Drew Carlton,27,656290,Maj-NL,San Diego,27,11,0,2.0,,20.2,18,10,6,18,2,4.35,1.161,85,3.0,0,0,
Carlos Carrasco,38,471911,"Maj-AL,Maj-NL","Atlanta,Cleveland,New York",38,52,50,8.0,,239.1,288,169,88,189,47,6.36,1.571,1076,2.15,23,7,
Alex Carrillo,28,692024,Maj-NL,New York,28,3,0,,,4.2,6,7,2,4,4,13.5,1.714,22,2.0,0,1,NYM
Ben Casparius,27,676508,Maj-NL,Los Angeles,27,57,4,10.0,2.0,96.0,94,46,32,91,9,4.31,1.313,414,2.84,12,1,LAD
Blas Castano,26,680604,Maj-AL,Seattle,26,1,0,,,3.0,4,3,2,1,1,9.0,2.0,16,0.5,1,0,SEA
Daniel Castano,28,641447,Maj-NL,Miami,28,2,0,,,3.0,7,7,3,4,2,21.0,3.333,20,1.33,0,0,MIA
Humberto Castellanos,26,528748,Maj-NL,Arizona,26,7,0,,1.0,10.1,11,6,4,7,0,5.23,1.452,48,1.75,1,0,ARI
Diego Castillo,30,650895,Maj-AL,"Minnesota,Seattle",30,15,0,,,18.2,15,9,15,13,2,4.34,1.607,84,0.87,1,0,
Jos\xc3\xa9 Castillo,29,620454,"Maj-AL,Maj-NL","Arizona,Baltimore,New York,San Diego,Seattle",29,30,0,2.0,,32.1,42,18,16,30,4,5.01,1.794,155,1.88,4,0,
Luis Castillo,30,622379,Maj-AL,Seattle,30,2,2,,,7.0,12,6,7,5,0,7.71,2.714,41,0.71,2,0,SEA
Luis Castillo,33,622491,Maj-AL,Seattle,33,100,99,37.0,,568.1,510,228,158,569,78,3.61,1.175,2345,3.6,33,3,SEA
Max Castillo,24,666721,Maj-AL,Kansas City,24,7,0,,,20.1,20,10,9,10,2,4.43,1.426,89,1.11,3,0,KC
Harold Castro,29,605612,Maj-NL,Colorado,29,2,0,,,2.0,4,2,1,0,0,9.0,2.5,11,0.0,0,0,COL
Miguel Castro,30,612434,"Maj-AL,Maj-NL","Arizona,Chicago",30,100,0,6.0,7.0,90.1,83,52,38,76,13,5.18,1.339,390,2.0,11,0,
Willi Castro,28,650489,Maj-AL,Minnesota,28,6,0,,,4.2,4,3,2,0,0,5.79,1.286,19,0.0,0,0,MIN
Cade Cavalli,27,676917,Maj-NL,Washington,27,13,13,3.0,,63.0,69,27,24,51,7,3.86,1.476,281,2.13,8,2,WSN
Dylan Cease,30,656302,"Maj-AL,Maj-NL","Chicago,San Diego,Toronto",30,103,103,29.0,,551.1,484,259,228,680,60,4.23,1.291,2356,2.98,35,3,
Slade Cecconi,27,677944,"Maj-AL,Maj-NL","Arizona,Cleveland",27,56,44,9.0,,256.0,262,144,59,211,47,5.06,1.254,1078,3.58,10,5,
Luis Cessa,31,570666,Maj-NL,Cincinnati,31,7,6,1.0,,26.0,46,26,12,11,3,9.0,2.231,132,0.92,0,0,CIN
Andrew Chafin,35,605177,"Maj-AL,Maj-NL","Arizona,Detroit,Los Angeles,Milwaukee,Texas,Washington",35,166,0,8.0,8.0,140.1,126,58,78,169,13,3.72,1.454,610,2.17,11,3,
Bubba Chandler,23,696149,Maj-NL,Pittsburgh,23,9,6,4.0,1.0,40.0,30,17,14,41,2,3.83,1.1,164,2.93,3,0,PIT
Aroldis Chapman,38,547973,"Maj-AL,Maj-NL","Boston,Kansas City,Pittsburgh,Texas",38,212,0,16.0,56.0,196.2,122,57,97,300,13,2.61,1.114,805,3.09,30,6,
JT Chargois,33,608638,"Maj-AL,Maj-NL","Miami,Seattle",33,81,5,4.0,1.0,77.1,60,26,32,64,9,3.03,1.19,318,2.0,8,1,
Jesse Chavez,41,445926,Maj-NL,Atlanta,41,86,1,3.0,1.0,106.2,98,36,36,102,16,3.04,1.256,451,2.83,12,0,ATL
Yonny Chirinos,30,630023,"Maj-AL,Maj-NL","Atlanta,Miami,Tampa Bay",30,26,15,5.0,,115.0,134,72,40,78,22,5.63,1.513,511,1.95,10,1,
Angel Chivilli,22,683409,Maj-NL,Colorado,22,73,0,3.0,1.0,90.1,107,62,33,71,20,6.18,1.55,408,2.15,5,0,COL
Marc Church,24,687847,Maj-AL,Texas,24,6,0,,,5.2,5,2,6,6,0,3.18,1.941,27,1.0,1,0,TEX
Adam Cimber,33,643256,Maj-AL,"Los Angeles,Toronto",33,49,0,3.0,1.0,44.0,45,36,20,31,7,7.36,1.477,198,1.55,4,1,
Jos\xc3\xa9 Cisnero,35,542585,Maj-AL,"Detroit,Los Angeles",35,78,0,3.0,2.0,75.0,81,47,33,87,14,5.64,1.52,341,2.64,5,0,
Aaron Civale,31,650644,"Maj-AL,Maj-NL","Athletics,Chicago,Cleveland,Milwaukee,Tampa Bay",31,81,74,20.0,1.0,402.2,372,183,124,367,59,4.09,1.232,1695,2.96,11,1,
Taylor Clarke,33,664199,"Maj-AL,Maj-NL","Arizona,Kansas City",33,116,2,4.0,4.0,121.0,115,63,33,114,21,4.69,1.223,498,3.45,3,9,
Emmanuel Clase,27,661403,Maj-AL,Cleveland,27,203,0,12.0,117.0,201.1,165,56,39,183,11,2.5,1.013,808,4.69,21,1,CLE
Alex Claudio,31,592222,Maj-NL,Milwaukee,31,1,0,,,0.1,2,0,0,0,0,0.0,6.0,3,,0,0,MIL
Garrett Cleavinger,32,664076,Maj-AL,Tampa Bay,32,153,0,11.0,8.0,135.2,101,47,59,170,17,3.12,1.179,571,2.88,18,3,TB
Kody Clemens,29,665019,"Maj-AL,Maj-NL","Minnesota,Philadelphia",29,6,0,,,4.2,9,4,4,1,3,7.71,2.786,27,0.25,0,0,
Ernie Clement,28,676391,Maj-AL,Toronto,28,2,0,,,2.0,5,2,0,0,0,9.0,2.5,12,,0,0,TOR
Mike Clevinger,34,605182,Maj-AL,Chicago,34,36,28,9.0,,153.0,148,72,57,128,20,4.24,1.34,658,2.25,32,5,CWS
Alex Cobb,36,502171,"Maj-AL,Maj-NL","Cleveland,San Francisco",36,33,33,9.0,,173.1,185,75,44,146,21,3.89,1.321,737,3.32,14,4,
Gerrit Cole,33,543037,Maj-AL,New York,33,54,54,23.0,,327.0,259,104,85,332,32,2.86,1.052,1313,3.91,22,2,NYY
Dylan Coleman,27,669395,Maj-AL,"Houston,Kansas City",27,23,1,,,18.1,17,18,18,22,3,8.84,1.909,94,1.22,4,0,
Alex Colom\xc3\xa9,34,517008,Maj-AL,Chicago,34,4,0,,,3.0,2,2,3,2,1,6.0,1.667,15,0.67,0,0,CWS
Luis Contreras,29,664351,Maj-AL,Houston,29,14,0,,,18.0,18,15,10,19,2,7.5,1.556,80,1.9,0,0,HOU
Roansy Contreras,25,672710,"Maj-AL,Maj-NL","Baltimore,Colorado,Los Angeles,Pittsburgh",25,73,14,5.0,3.0,149.1,150,91,65,117,25,5.48,1.44,651,1.8,24,3,
Sam Coonrod,30,656322,Maj-NL,New York,30,10,0,,,6.2,5,7,8,6,0,9.45,1.95,34,0.75,1,0,NYM
Patrick Corbin,36,571578,"Maj-AL,Maj-NL","Texas,Toronto,Washington",36,95,94,23.0,,511.0,578,291,160,394,81,5.13,1.444,2218,2.46,78,13,
Jimmy Cordero,31,622772,Maj-AL,New York,31,31,1,3.0,,32.2,25,14,10,34,2,3.86,1.071,132,3.4,6,0,NYY
Jose Corniell,22,692030,Maj-AL,Texas,22,1,0,,,1.2,3,3,1,1,1,16.2,2.4,9,1.0,1,0,TEX
Nestor Cortes,30,641482,"Maj-AL,Maj-NL","Milwaukee,New York,San Diego",30,53,50,16.0,,274.0,258,134,80,259,49,4.4,1.234,1141,3.24,12,8,
Tom Cosgrove,29,676680,Maj-NL,"Chicago,San Diego",29,74,0,1.0,1.0,70.0,57,30,26,62,6,3.86,1.186,297,2.38,2,0,
Danny Coulombe,36,543056,Maj-AL,"Baltimore,Boston,Minnesota,Texas",36,158,1,8.0,5.0,129.1,97,35,38,137,11,2.44,1.044,516,3.61,18,1,
Jake Cousins,29,664776,"Maj-AL,Maj-NL","Milwaukee,New York",29,52,0,2.0,1.0,52.1,36,20,34,67,6,3.44,1.338,226,1.97,7,3,
Dylan Covey,31,592229,Maj-NL,"Los Angeles,Philadelphia",31,29,1,1.0,,43.0,48,18,17,30,5,3.77,1.512,191,1.76,1,1,
Austin Cox,28,680735,"Maj-AL,Maj-NL","Atlanta,Kansas City",28,37,4,,1.0,57.0,58,39,24,55,11,6.16,1.439,251,2.29,3,2,
Brandon Crawford,37,543063,Maj-NL,"San Francisco,St. Louis",37,2,0,,,2.1,4,4,3,0,0,15.43,3.0,15,0.0,0,0,
Kutter Crawford,28,676710,Maj-AL,Boston,28,64,56,15.0,,313.0,262,147,87,310,51,4.23,1.115,1286,3.56,15,2,BOS
Nabil Crismatt,30,622503,Maj-NL,"Arizona,Los Angeles,San Diego",30,20,5,4.0,,52.1,62,26,16,41,9,4.47,1.49,235,2.56,7,0,
Cooper Criswell,29,681867,Maj-AL,"Boston,Seattle,Tampa Bay",29,47,19,8.0,2.0,157.0,171,75,50,116,21,4.3,1.408,681,2.32,6,2,
Jeff Criswell,25,676105,Maj-NL,Colorado,25,13,0,1.0,,19.2,20,6,9,27,4,2.75,1.475,87,3.0,5,0,COL
Garrett Crochet,27,676979,Maj-AL,"Boston,Chicago",27,80,67,27.0,,389.0,318,129,96,509,45,2.98,1.064,1573,5.3,32,2,
Declan Cronin,26,686539,"Maj-AL,Maj-NL","Chicago,Miami",26,65,0,3.0,,81.1,86,45,32,80,4,4.98,1.451,357,2.5,9,0,
Hans Crouse,25,668968,Maj-AL,Los Angeles,25,25,0,4.0,,25.1,14,8,17,34,2,2.84,1.224,107,2.0,4,0,LAA
Wil Crowe,28,640444,Maj-NL,Pittsburgh,28,5,0,,1.0,9.2,9,5,9,9,1,4.66,1.862,47,1.0,0,0,PIT
Fernando Cruz,36,518585,"Maj-AL,Maj-NL","Cincinnati,New York",36,186,5,8.0,2.0,189.1,143,92,90,291,20,4.37,1.231,800,3.23,20,0,
Omar Cruz,26,678316,Maj-NL,San Diego,26,2,0,,,3.2,4,2,3,5,0,4.91,1.909,18,1.67,0,0,
Steven Cruz,27,674444,Maj-AL,Kansas City,27,67,4,3.0,,69.0,55,33,33,64,10,4.3,1.275,295,1.94,3,0,KC
Jose Cuas,30,621016,"Maj-AL,Maj-NL","Chicago,Kansas City,Toronto",30,84,2,3.0,1.0,80.2,82,43,45,85,12,4.8,1.574,372,1.89,4,0,
Johnny Cueto,38,456501,"Maj-AL,Maj-NL","Los Angeles,Miami",38,15,12,1.0,,63.2,65,44,18,45,21,6.22,1.304,268,2.5,0,1,
Xzavion Curry,26,675540,"Maj-AL,Maj-NL","Cleveland,Miami",26,60,14,5.0,,140.2,140,67,40,96,20,4.29,1.28,592,2.4,13,1,
John Curtiss,32,595928,Maj-NL,"Arizona,Colorado,New York",32,47,0,3.0,1.0,57.2,51,29,13,41,9,4.53,1.11,230,3.15,3,0,
Luis Curvelo,25,681168,Maj-AL,Texas,25,19,0,1.0,,22.0,21,14,11,22,4,5.73,1.455,97,2.0,1,0,TEX
Tyler Cyr,30,664202,Maj-NL,Los Angeles,30,2,0,,,1.2,1,0,0,2,0,0.0,0.6,6,,0,0,LAD
Caden Dana,21,702674,Maj-AL,Los Angeles,21,10,8,1.0,,42.2,44,34,25,41,14,7.17,1.617,193,1.64,8,0,LAA
Davis Daniel,28,669721,"Maj-AL,Maj-NL","Atlanta,Los Angeles",28,12,8,2.0,,52.1,55,30,22,46,7,5.16,1.471,232,2.09,8,0,
Hagen Danner,24,668470,Maj-AL,Toronto,24,1,0,,,0.1,0,0,0,0,0,0.0,0.0,1,,0,0,TOR
Dugan Darnell,28,699911,Maj-NL,Colorado,28,9,0,1.0,,11.2,10,5,7,5,1,3.86,1.457,48,0.71,5,0,COL
Michael Darrell-Hicks,27,690382,"Maj-AL,Maj-NL","Los Angeles,Pittsburgh",27,7,0,1.0,,9.2,10,8,4,8,1,7.45,1.448,43,2.0,2,0,
Yu Darvish,38,506433,Maj-NL,San Diego,38,58,58,21.0,,304.2,275,147,87,295,46,4.34,1.188,1256,3.39,42,3,
Logan Davidson,27,669722,Maj-AL,Los Angeles,27,1,0,,,1.0,0,0,0,1,0,0.0,0.0,3,,0,0,LAA
Tucker Davidson,28,656353,Maj-AL,"Baltimore,Kansas City,Los Angeles",28,39,1,2.0,2.0,56.0,68,34,21,47,6,5.46,1.589,255,2.24,10,0,
Zach Davies,30,605200,Maj-NL,Arizona,30,18,18,2.0,,82.1,98,64,39,72,10,7.0,1.664,377,1.85,8,0,ARI
Austin Davis,31,656354,Maj-NL,San Diego,31,7,0,,,7.0,6,7,5,6,0,9.0,1.571,33,1.2,0,0,
Noah Davis,28,663562,"Maj-AL,Maj-NL","Colorado,Los Angeles,Minnesota",28,26,6,,,61.1,96,64,28,56,16,9.39,2.022,307,2.0,4,2,
Duncan Davitt,26,701474,Maj-AL,Chicago,26,1,0,,,1.0,0,0,1,0,0,0.0,1.0,3,0.0,0,0,CWS
Brett de Geus,27,676969,"Maj-AL,Maj-NL","Miami,Philadelphia,Seattle,Toronto",27,14,0,,,13.1,15,10,7,7,0,6.75,1.65,62,1.0,1,3,
Enmanuel De Jesus,29,646241,"Maj-AL,Maj-NL","Detroit,Miami",29,6,0,1.0,,12.0,16,12,8,12,0,9.0,2.0,63,1.5,1,1,
Chase De Jong,29,608328,Maj-NL,Pittsburgh,29,6,0,,,11.1,18,17,6,7,6,13.5,2.118,60,1.17,0,0,PIT
Jos\xc3\xa9 De Le\xc3\xb3n,32,592254,Maj-AL,"Boston,Minnesota",32,13,2,1.0,,24.0,24,12,8,25,3,4.5,1.333,98,3.13,2,0,
Enyel De Los Santos,30,660853,"Maj-AL,Maj-NL","Atlanta,Chicago,Cleveland,Houston,New York,San Diego",30,200,0,12.0,2.0,198.0,180,94,74,191,29,4.27,1.283,831,2.58,13,7,
Yerry de los Santos,27,660787,"Maj-AL,Maj-NL","New York,Pittsburgh",27,47,0,1.0,,60.0,54,22,30,46,2,3.3,1.4,264,1.53,5,0,
Jacob deGrom,38,594798,Maj-AL,Texas,38,40,40,14.0,,219.2,153,67,43,250,30,2.75,0.892,848,5.81,18,0,TEX
Matt Dermody,32,571616,Maj-AL,Boston,32,1,1,,,4.0,4,3,1,1,2,6.75,1.25,17,1.0,0,0,BOS
Anthony DeSclafani,35,543101,Maj-NL,"Arizona,San Francisco",35,32,22,5.0,2.0,138.1,142,76,32,115,26,4.94,1.258,588,3.59,15,2,
Reid Detmers,26,672282,Maj-AL,Los Angeles,26,109,48,13.0,3.0,315.1,311,175,129,374,44,4.99,1.395,1370,2.9,35,5,LAA
Chris Devenski,34,606965,"Maj-AL,Maj-NL","Los Angeles,New York,Tampa Bay",34,71,1,8.0,,87.2,75,45,30,80,16,4.62,1.198,367,2.67,18,0,
Alexis D\xc3\xadaz,28,664747,Maj-NL,"Atlanta,Cincinnati,Los Angeles",28,149,0,12.0,65.0,141.1,101,64,79,158,16,4.08,1.274,613,2.0,26,3,
Edwin D\xc3\xadaz,32,621242,Maj-NL,"Los Angeles,New York",32,128,0,14.0,54.0,134.2,83,40,52,205,12,2.67,1.002,540,3.94,45,0,
Jhonathan D\xc3\xadaz,28,646242,Maj-AL,"Los Angeles,Seattle",28,10,2,,,18.0,28,13,10,13,2,6.5,2.111,94,1.3,2,1,
Miguel D\xc3\xadaz,29,622766,Maj-AL,"Detroit,Houston",29,13,3,1.0,,15.0,8,1,5,16,0,0.6,0.867,57,3.2,1,0,
Yilber D\xc3\xadaz,24,700270,Maj-NL,Arizona,24,8,4,1.0,,31.1,31,15,15,20,3,4.31,1.468,134,1.33,2,1,ARI
Jake Diekman,37,518617,"Maj-AL,Maj-NL","Chicago,New York,Tampa Bay",37,106,0,2.0,4.0,89.1,60,40,62,106,10,4.03,1.366,390,1.71,13,2,
Brandon Dixon,31,641525,Maj-NL,San Diego,31,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,
Hunter Dobbins,25,690928,Maj-AL,Boston,25,13,11,4.0,,61.0,61,28,17,45,6,4.13,1.279,256,2.65,1,1,BOS
Randy Dobnak,30,677976,Maj-AL,Minnesota,30,6,0,,,15.0,13,7,7,8,2,4.2,1.333,64,1.14,1,0,MIN
Dylan Dodd,27,689266,Maj-NL,Atlanta,27,36,7,3.0,,71.1,85,45,18,47,14,5.68,1.444,309,2.61,3,1,ATL
Chase Dollander,24,801403,Maj-NL,Colorado,24,24,21,3.0,,110.2,116,77,53,96,21,6.26,1.527,498,1.81,18,4,COL
Seranthony Dom\xc3\xadnguez,31,622554,"Maj-AL,Maj-NL","Baltimore,Chicago,Philadelphia,Toronto",31,212,0,15.0,17.0,194.1,159,78,96,219,27,3.61,1.312,843,2.28,38,2,
Josh Donaldson,37,518626,Maj-AL,New York,37,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,NYY
Camilo Doval,28,666808,"Maj-AL,Maj-NL","New York,San Francisco",28,210,0,15.0,78.0,200.1,165,85,101,244,12,3.82,1.328,868,2.42,37,1,
Tommy Doyle,27,656382,Maj-NL,Colorado,27,15,0,,,23.2,23,18,13,18,5,6.85,1.521,103,1.38,1,0,COL
Jack Dreyer,27,676263,Maj-NL,Los Angeles,27,77,5,4.0,4.0,85.2,63,27,30,85,4,2.84,1.086,349,2.83,6,2,LAD
Shane Drohan,27,675660,Maj-NL,Milwaukee,27,1,1,,,2.2,3,3,4,2,0,10.13,2.625,15,0.5,0,0,MIL
Daniel Duarte,27,650960,"Maj-AL,Maj-NL","Cincinnati,Minnesota",27,33,0,4.0,1.0,35.2,26,14,21,26,6,3.53,1.318,151,1.24,2,1,
Shawn Dubin,29,681869,Maj-AL,"Baltimore,Houston",29,64,3,3.0,2.0,88.0,94,47,40,88,10,4.81,1.523,394,2.2,3,1,
Tyler Duffey,33,608648,"Maj-AL,Maj-NL","Chicago,Kansas City",33,10,0,1.0,,11.0,8,6,8,13,1,4.91,1.455,49,1.63,0,0,
Matt Duffy,32,622110,Maj-AL,Kansas City,32,2,0,,,2.0,3,1,0,0,1,4.5,1.5,10,,0,0,KC
Dane Dunning,30,641540,"Maj-AL,Maj-NL","Atlanta,Texas",30,78,41,18.0,2.0,295.1,292,147,107,257,43,4.48,1.351,1270,2.4,17,0,
Parker Dunshee,29,670161,Maj-NL,Atlanta,29,1,0,,,2.1,4,5,2,3,2,19.29,2.571,14,1.5,0,0,ATL
Carlos Duran,23,679922,Maj-AL,Athletics,23,1,0,,,0.1,1,3,3,0,0,81.0,12.0,5,0.0,0,0,
Ezequiel Duran,26,677649,Maj-AL,Texas,26,4,0,,,3.1,1,0,0,0,0,0.0,0.3,11,,0,0,TEX
Jhoan Duran,28,661395,"Maj-AL,Maj-NL","Minnesota,Philadelphia",28,202,0,17.0,88.0,201.0,160,56,63,250,13,2.51,1.109,824,3.97,28,1,
Connelly Early,24,813349,Maj-AL,Boston,24,8,8,1.0,,36.2,36,12,13,50,0,2.95,1.336,159,3.85,1,1,BOS
Nate Eaton,28,681987,Maj-AL,"Boston,Kansas City",28,2,0,,,2.0,4,0,0,1,0,0.0,2.0,9,,0,0,
Jake Eder,26,671109,Maj-AL,"Chicago,Los Angeles",26,9,0,,,20.1,17,11,10,16,3,4.87,1.328,87,1.6,1,0,
Carl Edwards Jr.,33,605218,"Maj-AL,Maj-NL","Los Angeles,San Diego,Texas,Washington",33,37,0,1.0,2.0,37.2,36,16,22,30,2,3.82,1.54,169,1.36,3,0,
Scott Effross,31,664123,Maj-AL,New York,31,14,0,,,14.0,19,12,5,8,2,7.71,1.714,65,1.6,1,0,NYY
Zach Eflin,32,621107,Maj-AL,"Baltimore,Tampa Bay",32,76,76,32.0,,427.0,429,189,66,383,62,3.98,1.159,1755,5.8,15,4,
Brandon Eisert,27,685126,Maj-AL,"Chicago,Toronto",27,75,3,3.0,2.0,76.1,80,37,29,76,12,4.36,1.428,332,2.62,9,1,
Bryce Elder,27,693821,Maj-NL,Atlanta,27,73,73,23.0,,401.0,409,210,137,325,54,4.71,1.362,1719,2.37,36,1,ATL
Fraser Ellard,27,686642,Maj-AL,Chicago,27,43,3,3.0,1.0,41.0,26,18,31,48,4,3.95,1.39,175,1.55,2,1,CWS
Kent Emanuel,32,592288,Maj-NL,Miami,32,12,0,,,17.2,20,13,7,12,4,6.62,1.528,82,1.71,0,0,MIA
Mason Englert,26,669438,Maj-AL,"Detroit,Tampa Bay",26,75,3,5.0,,128.0,144,72,34,105,21,5.06,1.391,560,3.09,12,0,
Dietrich Enns,35,608650,Maj-AL,"Baltimore,Detroit",35,27,3,3.0,2.0,50.2,52,23,20,56,6,4.09,1.421,220,2.8,7,1,
Nic Enright,28,663671,Maj-AL,Cleveland,28,27,0,2.0,1.0,31.0,24,7,12,30,3,2.03,1.161,127,2.5,3,1,CLE
Nathan Eovaldi,36,543135,Maj-AL,Texas,36,85,85,41.0,,496.0,407,180,125,487,55,3.27,1.073,1993,3.9,31,3,TEX
Lucas Erceg,31,668674,Maj-AL,"Kansas City,Oakland",31,184,0,14.0,24.0,190.2,163,74,75,198,9,3.49,1.248,801,2.64,3,7,
Eduardo Escobar,34,500871,Maj-AL,Los Angeles,34,3,0,,,3.2,2,1,1,0,0,2.45,0.818,16,0.0,0,0,LAA
Jose Espada,28,664744,"Maj-AL,Maj-NL","Baltimore,San Diego",28,2,0,,,4.0,1,0,2,6,0,0.0,0.75,14,3.0,0,0,
Paolo Espino,37,502179,"Maj-AL,Maj-NL","Toronto,Washington",37,6,1,,,12.2,28,19,8,6,4,13.5,2.842,72,0.75,1,0,
Joey Estes,23,683155,Maj-AL,"Athletics,Oakland",23,30,28,7.0,,148.2,158,91,35,105,31,5.51,1.298,645,3.0,6,0,
Carlos Est\xc3\xa9vez,33,608032,"Maj-AL,Maj-NL","Kansas City,Los Angeles,Philadelphia",33,188,0,13.0,99.0,186.1,154,67,68,186,19,3.24,1.191,781,2.74,5,1,
Jeremiah Estrada,27,669093,Maj-NL,"Chicago,San Diego",27,164,0,11.0,4.0,158.2,124,61,70,230,20,3.46,1.223,672,3.29,7,0,
Lazaro Estrada,27,681751,Maj-AL,Toronto,27,3,0,,,11.1,10,7,3,13,2,5.56,1.147,49,4.33,1,0,TOR
Logan Evans,24,688138,Maj-AL,Seattle,24,16,15,6.0,,81.1,82,39,31,59,13,4.32,1.389,350,1.9,4,1,SEA
Alex Faedo,28,656412,Maj-AL,Detroit,28,52,18,7.0,,122.0,97,55,48,113,21,4.06,1.189,508,2.35,3,3,DET
Pete Fairbanks,32,664126,"Maj-AL,Maj-NL","Miami,Tampa Bay",32,159,1,9.0,77.0,154.0,110,53,56,177,15,3.1,1.078,626,3.16,20,3,
Bailey Falter,29,663559,"Maj-AL,Maj-NL","Kansas City,Philadelphia,Pittsburgh",29,74,66,17.0,,351.2,355,185,113,242,54,4.73,1.331,1474,2.14,39,5,
Jeurys Familia,33,544727,Maj-AL,Oakland,33,14,0,,2.0,12.2,13,9,13,9,2,6.39,2.053,64,0.69,0,0,OAK
Jake Faria,29,607188,Maj-AL,Boston,29,1,0,,,2.0,4,5,4,3,0,22.5,4.0,14,0.75,0,0,BOS
Buck Farmer,33,571656,Maj-NL,Cincinnati,33,131,1,7.0,4.0,145.0,114,58,57,139,18,3.6,1.179,604,2.44,23,0,CIN
Kyle Farmer,34,571657,"Maj-AL,Maj-NL","Colorado,Minnesota",34,4,0,,,5.0,10,4,1,0,1,7.2,2.2,24,0.0,0,0,
Mitch Farris,25,815083,Maj-AL,Los Angeles,25,7,5,1.0,,27.1,27,19,13,26,5,6.26,1.463,120,2.0,2,2,LAA
Calvin Faucher,30,676534,"Maj-AL,Maj-NL","Miami,Tampa Bay",30,140,4,8.0,21.0,144.0,136,64,66,154,12,4.0,1.403,630,2.33,14,2,
Erick Fedde,33,607200,"Maj-AL,Maj-NL","Atlanta,Chicago,Milwaukee,St. Louis",33,66,57,13.0,,334.1,315,157,122,249,41,4.23,1.307,1413,2.04,40,3,
Brady Feigl,33,621399,Maj-NL,Pittsburgh,33,1,0,,,1.2,7,6,0,0,1,32.4,4.2,11,,0,0,PIT
Angel Felipe,25,665734,Maj-AL,Oakland,25,14,0,1.0,,15.0,6,7,13,19,0,4.2,1.267,64,1.46,0,0,OAK
Ryan Feltner,29,663372,Maj-NL,Colorado,29,49,49,6.0,,248.1,258,135,98,210,29,4.89,1.434,1084,2.14,43,2,COL
Caleb Ferguson,28,657571,"Maj-AL,Maj-NL","Houston,Los Angeles,New York,Pittsburgh,Seattle",28,205,7,13.0,4.0,184.1,179,82,74,191,13,4.0,1.373,810,2.58,15,1,
Tyler Ferguson,31,621053,Maj-AL,"Athletics,Oakland",31,104,0,8.0,4.0,109.1,75,51,58,116,8,4.2,1.216,453,2.0,6,3,
Jos\xc3\xa9 Fermin,23,820862,Maj-AL,Los Angeles,23,40,0,3.0,,34.1,25,17,23,39,8,4.46,1.398,152,1.7,1,0,LAA
Julian Fern\xc3\xa1ndez,29,642759,Maj-NL,"Los Angeles,Washington",29,4,0,1.0,,5.0,3,3,2,5,2,5.4,1.0,20,2.5,0,0,
Ryan Fernandez,27,681676,Maj-NL,St. Louis,27,94,0,1.0,3.0,97.0,94,51,48,105,10,4.73,1.464,425,2.19,14,2,STL
