Name,Age,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Nick Anderson,34,623433,"Maj-AL,Maj-NL","Atlanta,Colorado,Kansas City",34,84,0,7.0,2.0,85.2,82,38,26,75,12,3.99,1.261,355,2.88,4,0,
Shaun Anderson,31,641312,"Maj-AL,Maj-NL","Los Angeles,Miami,Texas",31,16,2,2.0,,35.2,61,32,8,27,10,8.07,1.935,175,3.38,2,0,
Tyler Anderson,35,542881,Maj-AL,Los Angeles,35,84,82,18.0,,456.2,439,230,194,365,72,4.53,1.386,1993,1.88,31,1,LAA
Clayton Andrews,27,677076,"Maj-AL,Maj-NL","Milwaukee,New York",27,5,0,,,3.2,11,11,2,5,4,27.0,3.545,25,2.5,0,0,
Matt Andriese,34,542882,Maj-NL,Miami,34,4,0,,,6.0,7,4,1,7,2,6.0,1.333,26,7.0,1,0,MIA
Tejay Antone,30,622088,Maj-NL,Cincinnati,30,8,1,,,7.2,5,2,6,9,0,2.35,1.435,32,1.5,0,0,CIN
Luarbert Arias,24,678215,Maj-NL,Miami,24,7,0,,,10.1,17,13,5,10,2,11.32,2.129,55,2.0,2,0,MIA
Shawn Armstrong,35,542888,"Maj-AL,Maj-NL","Chicago,Cleveland,St. Louis,Tampa Bay,Texas",35,176,15,9.0,10.0,201.1,161,65,61,206,15,2.91,1.103,824,3.38,17,0,
Spencer Arrighetti,25,681293,Maj-AL,Houston,25,36,35,8.0,,180.1,169,94,85,202,27,4.69,1.409,788,2.38,27,1,HOU
Aaron Ashby,28,676879,Maj-NL,Milwaukee,28,73,7,9.0,3.0,113.2,95,36,47,134,7,2.85,1.249,479,2.85,16,3,MIL
Braxton Ashcraft,26,677952,Maj-NL,Pittsburgh,26,29,11,5.0,,86.2,75,25,29,91,3,2.6,1.2,358,3.14,5,0,PIT
Graham Ashcraft,28,668933,Maj-NL,Cincinnati,28,112,41,20.0,,297.1,313,153,107,243,36,4.63,1.413,1295,2.27,18,2,CIN
Javier Assad,28,665871,Maj-NL,Chicago,28,70,47,17.0,,299.0,270,113,118,244,36,3.4,1.298,1259,2.07,23,4,CHC
Luinder Avila,24,679883,Maj-AL,Kansas City,24,15,1,1.0,,20.0,21,8,10,22,1,3.6,1.55,89,2.2,1,1,KC
Nick Avila,26,687014,Maj-NL,San Francisco,26,8,0,1.0,,11.2,17,11,3,14,2,8.49,1.714,55,4.67,1,0,SF
Pedro Avila,27,658648,"Maj-AL,Maj-NL","Cleveland,San Diego",27,71,6,9.0,1.0,137.0,116,53,63,139,11,3.48,1.307,586,2.21,3,0,
Lake Bachar,31,669199,Maj-NL,Miami,31,67,1,8.0,3.0,87.1,69,38,37,96,12,3.92,1.214,364,2.59,7,0,MIA
Sam Bachman,26,696147,Maj-AL,Los Angeles,26,39,0,3.0,1.0,44.0,42,21,26,40,1,4.3,1.545,198,1.54,2,0,LAA
Kyle Backhus,28,679775,Maj-NL,"Arizona,Philadelphia",28,36,0,,2.0,28.1,32,16,9,26,4,5.08,1.447,129,2.89,0,0,
Bryan Baker,31,641329,Maj-AL,"Baltimore,Tampa Bay",31,144,0,10.0,5.0,142.2,115,65,51,163,21,4.1,1.164,575,3.2,13,1,
Jordan Balazovic,24,666364,Maj-AL,Minnesota,24,18,0,1.0,,24.1,26,12,12,17,5,4.44,1.562,108,1.42,0,0,MIN
Anthony Banda,32,607455,"Maj-AL,Maj-NL","Los Angeles,Minnesota,Washington",32,154,3,9.0,2.0,143.0,121,60,67,138,17,3.78,1.315,613,2.06,19,4,
Tanner Banks,34,621383,"Maj-AL,Maj-NL","Chicago,Philadelphia",34,172,6,9.0,4.0,208.2,192,87,53,198,25,3.75,1.174,863,3.74,26,4,
Hunter Barco,25,682995,Maj-NL,Pittsburgh,25,5,0,1.0,,8.1,10,4,5,7,3,4.32,1.8,41,1.4,1,0,PIT
Daniel Bard,38,453268,Maj-NL,Colorado,38,50,0,4.0,1.0,49.1,35,25,49,47,5,4.56,1.703,232,0.96,2,2,COL
Joe Barlow,27,669618,Maj-AL,Texas,27,13,0,1.0,,9.2,13,5,2,6,2,4.66,1.552,44,3.0,1,0,TEX
Scott Barlow,33,605130,"Maj-AL,Maj-NL","Athletics,Cincinnati,Cleveland,Kansas City,San Diego",33,208,1,11.0,16.0,199.0,159,95,113,232,19,4.3,1.367,873,2.05,36,1,
Jacob Barnes,35,606930,"Maj-AL,Maj-NL","St. Louis,Toronto,Washington",35,82,0,8.0,,87.2,95,49,26,68,12,5.03,1.38,374,2.62,9,1,
Matt Barnes,34,598264,Maj-NL,"Miami,Washington",34,38,1,1.0,,34.2,41,23,14,30,3,5.97,1.587,159,2.14,9,0,
Mason Barnett,24,686930,Maj-AL,Athletics,24,5,5,1.0,,22.1,26,17,11,18,3,6.85,1.657,104,1.64,2,0,
Tucker Barnhart,34,571466,"Maj-AL,Maj-NL","Arizona,Chicago,Texas",34,6,0,,,7.0,16,6,0,0,1,7.71,2.286,37,,0,0,
Kyle Barraclough,33,607457,Maj-AL,Boston,33,3,0,1.0,,7.2,14,11,6,4,3,12.91,2.609,46,0.67,1,0,BOS
Jaime Barria,26,642545,Maj-AL,Los Angeles,26,34,6,2.0,,82.1,91,52,30,62,20,5.68,1.47,362,2.07,0,2,LAA
Anthony Bass,35,542914,Maj-AL,Toronto,35,21,0,,,19.2,18,10,8,19,3,4.58,1.322,85,2.38,1,1,TOR
Chris Bassitt,37,605135,Maj-AL,"Baltimore,Toronto",37,106,98,37.0,,561.0,552,246,190,535,69,3.95,1.323,2411,2.82,42,5,
Brady Basso,27,669620,Maj-AL,"Athletics,Oakland",27,18,5,2.0,,34.0,35,13,14,27,3,3.44,1.441,149,1.93,2,1,
Peyton Battenfield,25,685410,Maj-AL,Cleveland,25,7,6,,,34.2,34,20,12,27,7,5.19,1.327,146,2.25,2,0,CLE
Jake Bauers,29,641343,Maj-NL,Milwaukee,29,9,0,,,9.0,13,4,7,2,0,4.0,2.222,49,0.29,0,0,MIL
Mike Baumann,28,657508,"Maj-AL,Maj-NL","Baltimore,Los Angeles,Miami,San Francisco,Seattle",28,117,0,13.0,,123.0,111,63,61,119,16,4.61,1.398,537,1.95,17,3,
Carter Baumler,24,691945,Maj-AL,Texas,24,4,0,,,5.2,4,2,6,6,1,3.18,1.765,27,1.0,0,0,TEX
F\xc3\xa9lix Bautista,30,642585,Maj-AL,Baltimore,30,90,0,9.0,51.0,94.2,44,19,48,158,7,1.81,0.972,373,3.29,20,0,BAL
Shane Baz,27,669358,Maj-AL,"Baltimore,Tampa Bay",27,48,48,14.0,,261.2,235,125,96,258,36,4.3,1.265,1101,2.69,23,3,
Eduard Bazardo,30,660825,Maj-AL,"Baltimore,Seattle",30,124,0,8.0,,140.2,104,51,44,149,16,3.26,1.052,561,3.39,11,1,
Matt Beaty,30,607461,Maj-NL,San Francisco,30,1,0,,,1.0,3,3,1,1,0,27.0,4.0,7,1.0,0,0,SF
Tristan Beck,29,663941,Maj-NL,San Francisco,29,71,5,4.0,4.0,157.2,144,69,41,123,19,3.94,1.173,653,3.0,5,0,SF
David Bednar,31,670280,"Maj-AL,Maj-NL","New York,Pittsburgh",31,203,0,12.0,95.0,199.1,166,73,73,239,16,3.3,1.199,843,3.27,24,0,
Tyler Beede,31,595881,Maj-AL,Cleveland,31,13,0,1.0,,14.0,16,13,9,18,2,8.36,1.786,68,2.0,5,0,CLE
Jalen Beeks,32,656222,"Maj-AL,Maj-NL","Arizona,Colorado,Pittsburgh,Tampa Bay,Texas",32,169,10,15.0,12.0,176.1,167,87,69,153,16,4.44,1.338,761,2.22,10,0,
Clayton Beeter,27,690925,"Maj-AL,Maj-NL","New York,Washington",27,36,0,,3.0,36.2,20,17,25,44,5,4.17,1.227,152,1.76,4,0,
Andrew Bellatti,31,571479,Maj-NL,Philadelphia,31,26,0,1.0,,23.2,25,14,11,23,4,5.32,1.521,109,2.09,3,0,PHI
Brayan Bello,27,678394,Maj-AL,Boston,27,90,89,37.0,,496.1,486,227,176,416,61,4.12,1.334,2126,2.36,38,6,BOS
Valente Bellozo,26,678368,Maj-NL,"Colorado,Miami",26,47,19,4.0,,156.1,156,74,47,105,32,4.26,1.299,667,2.23,3,1,
Anthony Bender,31,669622,Maj-NL,Miami,31,117,0,9.0,6.0,109.0,88,41,45,108,6,3.39,1.22,463,2.4,22,1,MIA
Ryan Bergert,25,686701,"Maj-AL,Maj-NL","Kansas City,San Diego",25,19,15,2.0,,76.1,61,31,35,73,8,3.66,1.258,323,2.09,2,0,
Jonathan Berm\xc3\xbadez,28,642834,Maj-NL,Miami,28,3,1,,,6.2,11,6,2,4,2,8.1,1.95,33,2.0,1,0,MIA
Brennan Bernardino,34,657514,"Maj-AL,Maj-NL","Boston,Colorado",34,175,13,11.0,1.0,159.2,143,60,69,162,11,3.38,1.328,694,2.35,10,9,
Jos\xc3\xa9 Berr\xc3\xados,31,621244,Maj-AL,Toronto,31,96,95,36.0,,551.0,504,232,163,480,82,3.79,1.211,2278,2.94,37,11,TOR
Prelander Berroa,24,672860,Maj-AL,"Chicago,Seattle",24,19,0,1.0,,20.2,15,7,16,29,2,3.05,1.5,91,1.81,2,2,
Jon Berti,35,542932,Maj-NL,Chicago,35,4,0,,,3.2,4,3,4,0,0,7.36,2.182,19,0.0,0,0,CHC
Christian Bethancourt,31,542194,Maj-AL,Tampa Bay,31,1,0,,,0.1,3,3,0,0,1,81.0,9.0,4,,0,0,TB
Tanner Bibee,27,676440,Maj-AL,Cleveland,27,95,95,34.0,,532.0,479,212,155,526,67,3.59,1.192,2205,3.39,32,13,CLE
Phil Bickford,28,641360,"Maj-AL,Maj-NL","Los Angeles,New York",28,68,0,5.0,1.0,74.2,69,45,40,81,9,5.42,1.46,340,2.03,20,0,
Osvaldo Bido,30,674370,"Maj-AL,Maj-NL","Athletics,Atlanta,Oakland,Pittsburgh",30,63,28,10.0,2.0,203.1,195,113,86,185,26,5.0,1.382,894,2.15,22,2,
Shane Bieber,30,669456,Maj-AL,"Cleveland,Toronto",30,34,33,14.0,,193.0,183,78,48,179,25,3.64,1.197,797,3.73,11,2,
Brandon Bielak,28,656232,Maj-AL,"Houston,Oakland",28,31,13,6.0,,109.2,125,51,49,76,17,4.19,1.587,493,1.55,6,1,
Hunter Bigge,28,685801,"Maj-AL,Maj-NL","Chicago,Tampa Bay",28,36,1,,1.0,36.2,29,10,13,38,7,2.45,1.145,150,2.92,3,1,
Jake Bird,30,656234,"Maj-AL,Maj-NL","Colorado,New York",30,159,3,10.0,1.0,189.2,202,100,77,182,18,4.75,1.471,835,2.36,11,0,
Hayden Birdsong,23,806185,Maj-NL,San Francisco,23,37,26,9.0,,137.2,118,73,80,156,21,4.77,1.438,613,1.95,5,3,SF
